country_txt,region,eventid,attacktype1_txt,target1,nwound,nkill,killHurtRatio
United States,illinois,197004220005,Facility/Infrastructure Attack,"University Police Station, Urbana Illinois",0,0,NA
United States,california,197004220006,Facility/Infrastructure Attack,"Administrative building and Hall of Letters, Redlands University",0,0,NA
United States,puertorico,197004230001,Bombing/Explosion,U.S. Navy Relay Power Station,0,0,NA
United States,puertorico,197004230002,Bombing/Explosion,Motorola,0,0,NA
United States,puertorico,197004230003,Bombing/Explosion,International Telephone and Telegraph,0,0,NA
United States,puertorico,197004230004,Bombing/Explosion,Police telecommunication devices,0,0,NA
United States,california,197004240001,Facility/Infrastructure Attack,Center for Advanced Studies in Behavioral Sciences,0,0,NA
United States,maryland,197004240002,Armed Assault,Baltimore Police Officers,1,1,1
United States,newyork,197004240003,Bombing/Explosion,"Army and Air Force Recruiting Office, Harlem New York",0,0,NA
United States,newyork,197004240004,Assassination,Chiang Ching-kuo,0,0,NA
United States,pennsylvania,197004250003,Facility/Infrastructure Attack,"Office of Community Relations, College Hall",0,0,NA
United States,michigan,197004250004,Bombing/Explosion,East Lansing State Bank,0,0,NA
United States,michigan,197004250005,Bombing/Explosion,"First National Bank, East Lansing",0,0,NA
United States,michigan,197004250006,Bombing/Explosion,East Lansing Savings & Loan,0,0,NA
United States,louisiana,197004260001,Bombing/Explosion,State Capitol,0,0,NA
United States,louisiana,197004260002,Bombing/Explosion,,0,0,NA
United States,minnesota,197004260003,Bombing/Explosion,"Robbinsdale Selective Service Office, Local Board Number 51",0,0,NA
United States,iowa,197004270001,Bombing/Explosion,,2,0,0
United States,connecticut,197004270002,Facility/Infrastructure Attack,Yale Law School Library,0,0,NA
United States,illinois,197004270003,Facility/Infrastructure Attack,Department of Linguistics Building,0,0,NA
United States,california,197004270004,Bombing/Explosion,"Science Building at California State University, Fullerton",0,0,NA
United States,iowa,197004270005,Facility/Infrastructure Attack,Judge John McKinney,0,0,NA
United States,missouri,197004270006,Bombing/Explosion,,0,0,NA
United States,newyork,197004290001,Bombing/Explosion,West 123d Street Police Station in Harlem,0,0,NA
United States,louisiana,197004300001,Bombing/Explosion,,0,0,NA
United States,massachusetts,197005000001,Facility/Infrastructure Attack,St. Anne's Church,0,0,NA
United States,puertorico,197005000002,Bombing/Explosion,Burger King across the street from the University of Puerto Rico,1,0,0
United States,newyork,197005010002,Facility/Infrastructure Attack,Joint Armed Services Recruiting Booth at 600 West 168th Street,0,0,NA
United States,indiana,197005010003,Bombing/Explosion,"R.O.T.C. Office, DePauw University",0,0,NA
United States,connecticut,197005010004,Bombing/Explosion,Ingalls Skating Rink,2,0,0
United States,newyork,197005010005,Bombing/Explosion,Dale Theater,10,0,0
United States,newyork,197005010006,Bombing/Explosion,Paradise Theater,1,0,0
United States,illinois,197005010007,Facility/Infrastructure Attack,Lincoln Square Mall,0,0,NA
United States,illinois,197005010008,Facility/Infrastructure Attack,Jos. Kuhn Company,0,0,NA
United States,maryland,197005040002,Facility/Infrastructure Attack,"Barbershop whose owner was not a union member in Jennings, Maryland",0,0,NA
United States,northcarolina,197005040003,Bombing/Explosion,"R.O.T.C. Office, University of North Carolina",0,0,NA
United States,oklahoma,197005040004,Facility/Infrastructure Attack,"Selective Service office, Norman Oklahoma",0,0,NA
United States,missouri,197005040005,Facility/Infrastructure Attack,Vehicle compound of Missouri National Guard,0,0,NA
United States,idaho,197005050002,Facility/Infrastructure Attack,"National Guard Armory, Lewiston Idaho",0,0,NA
United States,florida,197005050004,Bombing/Explosion,"Computer Center, University of Miami",0,0,NA
United States,florida,197005050005,Facility/Infrastructure Attack,"Social Security Department, Veterans Administration and Selective Service offices of Orlando Florida.",0,0,NA
United States,newyork,197005050006,Bombing/Explosion,"Sears, Roebuck & Company, Brooklyn New York",2,0,0
United States,california,197005060001,Facility/Infrastructure Attack,Selective Service office in Oakland California,0,0,NA
United States,washington,197005060002,Bombing/Explosion,Longview National Guard Armory,0,0,NA
United States,pennsylvania,197005060003,Facility/Infrastructure Attack,"U.S. Army Reserve Center, Reading Pennsylvania",0,0,NA
United States,oregon,197005060004,Facility/Infrastructure Attack,"Federal Government Building, Portland Oregon",0,0,NA
United States,california,197005060005,Facility/Infrastructure Attack,San Pedro National Guard Armory,0,0,NA
United States,oregon,197005060006,Facility/Infrastructure Attack,"Selective Service Headquarters, Portland Oregon",0,0,NA
United States,massachusetts,197005060007,Facility/Infrastructure Attack,Chevra Shas synagogue,0,0,NA
United States,newyork,197005070002,Bombing/Explosion,,0,0,NA
United States,connecticut,197005080001,Facility/Infrastructure Attack,"National Guard Armory, New London Connecticut",0,0,NA
United States,newyork,197005090001,Facility/Infrastructure Attack,"Humanities Building, Long Island University",12,0,0
United States,california,197005090002,Bombing/Explosion,Selective Service office in Hollywood California,0,0,NA
United States,california,197005090003,Armed Assault,Sacramento Police Officers,0,1,Inf
United States,districtofcolumbia,197005100002,Bombing/Explosion,National Guard Assoc,0,0,NA
United States,texas,197005120002,Bombing/Explosion,KPFT transmitter,0,0,NA
United States,michigan,197005120003,Facility/Infrastructure Attack,"Selective Service Local Boards 186 and 187, Detroit Michigan",0,0,NA
United States,iowa,197005130001,Bombing/Explosion,Des Moines Police Station,2,0,0
United States,utah,197005130002,Bombing/Explosion,"Utah National Guard, Salt Lake City",0,0,NA
United States,northcarolina,197005130003,Facility/Infrastructure Attack,House of James Rudder,0,0,NA
United States,florida,197005130004,Facility/Infrastructure Attack,"Allapattah Five and Ten Cent Store, Miami Florida",0,0,NA
United States,massachusetts,197005140001,Facility/Infrastructure Attack,"National Guard Armory, Melrose Massachusetts",0,0,NA
United States,newyork,197005140002,Bombing/Explosion,Alma Mater statue,0,0,NA
United States,california,197005140003,Bombing/Explosion,"Science Building, California State University, Long Beach",0,0,NA
United States,northcarolina,197005140004,Facility/Infrastructure Attack,,0,0,NA
United States,washington,197005150004,Bombing/Explosion,"Hardcastle Realty, Seattle",0,1,Inf
United States,newyork,197005160001,Bombing/Explosion,Recruiting Station,0,0,NA
United States,missouri,197005190001,Facility/Infrastructure Attack,"Selective Service offices, Afton Missouri",0,0,NA
United States,florida,197005200001,Bombing/Explosion,Quincy Substation,0,0,NA
United States,pennsylvania,197005200002,Facility/Infrastructure Attack,"Selective Service building, Carlisle Pennsylvania",0,0,NA
United States,florida,197005200003,Facility/Infrastructure Attack,"Dorsey Junior High School, Miami Florida",0,0,NA
United States,california,197005210001,Bombing/Explosion,Home of foreman employed by American Potash and Chemical Company,0,0,NA
United States,newyork,197005220001,Unarmed Assault,2 PLO Offices,3,0,0
United States,minnesota,197005220002,Armed Assault,St. Paul Police Officer,0,1,Inf
United States,iowa,197005220003,Bombing/Explosion,"Police Headquarters, Ames Iowa",10,0,0
United States,northcarolina,197005250001,Facility/Infrastructure Attack,Chapman Lumber Company,0,0,NA
United States,northcarolina,197005260001,Facility/Infrastructure Attack,Planter's Warehouse,0,0,NA
United States,northcarolina,197005260002,Facility/Infrastructure Attack,Owen Warehouse Number Two,0,0,NA
United States,california,197005270001,Bombing/Explosion,"Selective Service offices, Los Angeles California",0,0,NA
United States,massachusetts,197005270002,Facility/Infrastructure Attack,Chevra Shas synagogue,0,0,NA
United States,massachusetts,197005270003,Facility/Infrastructure Attack,Agudath Israel synagogue,0,0,NA
United States,california,197005280001,Armed Assault,Policeman,0,1,Inf
United States,arizona,197005280002,Bombing/Explosion,"U.S. Department of Labor bus, Phoenix Arizona",0,0,NA
United States,newyork,197005280003,Bombing/Explosion,"Rockefeller University, Second Floor Lecture Hall",0,0,NA
United States,california,197005280004,Facility/Infrastructure Attack,"Registration building, Cal State Fullerton",0,0,NA
United States,california,197005290004,Bombing/Explosion,Family of the former Oakland chief of police,0,0,NA
United States,california,197005290005,Facility/Infrastructure Attack,USS Richard B. Anderson,0,0,NA
United States,newyork,197005300001,Bombing/Explosion,Company constructing the World Trade Center,0,0,NA
United States,louisiana,197006020002,Bombing/Explosion,"Gulf States Utilities Company, Baton Rouge transformer",0,0,NA
United States,illinois,197006020003,Assassination,William G. Barr,1,0,0
United States,oregon,197006030001,Facility/Infrastructure Attack,"Selective Service Headquarters, Portland Oregon",0,0,NA
United States,california,197006040001,Bombing/Explosion,Oakland Police Car,0,0,NA
United States,california,197006050001,Bombing/Explosion,"Naval R.O.T.C., University of California, Los Angeles",0,0,NA
United States,newyork,197006060004,Facility/Infrastructure Attack,"Woolworth's store, Manhattan New York",0,0,NA
United States,california,197006060005,Bombing/Explosion,Berkeley Police Cars,0,0,NA
United States,california,197006070003,Bombing/Explosion,Firestone Park Police Cars parked at station,0,0,NA
United States,illinois,197006080001,Bombing/Explosion,national socialist white peoples party HQ,0,0,NA
United States,california,197006080002,Bombing/Explosion,"Armed Services Police Vehicle, Oakland",0,0,NA
United States,illinois,197006090007,Facility/Infrastructure Attack,"Selective Service office, Galesburg Illinois",0,0,NA
United States,newjersey,197006090008,Assassination,Reverend Levin P. West,1,0,0
United States,nebraska,197006110003,Bombing/Explosion,North Assembly Building of Omaha Police Department,0,0,NA
United States,illinois,197006120002,Bombing/Explosion,Alexander County Courthouse,0,0,NA
United States,illinois,197006120003,Armed Assault,Illinois State Police in the Pyramid Courts housing project,1,0,0
United States,iowa,197006130001,Bombing/Explosion,Building,20,0,0
United States,missouri,197006130002,Bombing/Explosion,"Mid-Continental National Bank, Kansas Missouri",0,0,NA
United States,california,197006150001,Bombing/Explosion,"Police and fire station, Manhattan Beach California",0,0,NA
United States,california,197006170001,Bombing/Explosion,Emeryville Police Officers frequenting a local diner,3,0,0
United States,newyork,197006180001,Facility/Infrastructure Attack,"Car, construction sites, trash can in the vicinity of New York University",0,0,NA
United States,newyork,197006180002,Facility/Infrastructure Attack,,0,0,NA
United States,california,197006190002,Bombing/Explosion,Bank america branch,0,0,NA
United States,illinois,197006190003,Armed Assault,,0,1,Inf
United States,california,197006190004,Armed Assault,San Francisco police officer,0,1,Inf
United States,iowa,197006210001,Bombing/Explosion,Des Moines Police responding to an anonymous phone call,0,0,NA
United States,california,197006230003,Bombing/Explosion,"U.S. Air Force Recruiting Station, San Francisco",0,0,NA
United States,newyork,197006230004,Bombing/Explosion,Amtorg Trading Corp,0,0,NA
United States,texas,197006250001,Bombing/Explosion,,0,0,NA
United States,michigan,197006280001,Armed Assault,Police Officers,3,0,0
United States,iowa,197006290001,Bombing/Explosion,Harvey Ingham Hall of Science at Drake University,0,0,NA
United States,wisconsin,197006290002,Bombing/Explosion,Whitefish Bay Bank & Trust Company,0,0,NA
United States,newjersey,197006300001,Armed Assault,Police and firefighters at the scene of a fire in the African American part of town in Plainfield New Jersey,1,1,1
United States,newyork,197006300002,Facility/Infrastructure Attack,"Woolworth's store, Manhattan New York, 34th Street",0,0,NA
United States,newyork,197006300003,Facility/Infrastructure Attack,"Woolworth's store, Manhattan New York, 86th Street and 3rd Avenue",0,0,NA
United States,newyork,197006300004,Facility/Infrastructure Attack,"Woolworth's store, Manhattan New York, Broadway Avenue",0,0,NA
United States,newyork,197006300005,Facility/Infrastructure Attack,Supermarket in the Grand Union,0,0,NA
United States,wisconsin,197007000001,Bombing/Explosion,"Honeywell Incorporated, Wauwatosa Wisconsin",0,0,NA
United States,massachusetts,197007000002,Facility/Infrastructure Attack,St. Anne's Church,0,0,NA
United States,districtofcolumbia,197007010004,Bombing/Explosion,"Inter-American Defense Board building, Washington D.C.",0,0,NA
United States,california,197007010005,Bombing/Explosion,"Center for East Asian Studies, University of California, Berkeley",0,0,NA
United States,districtofcolumbia,197007020001,Bombing/Explosion,Argentine Embassy,0,0,NA
United States,districtofcolumbia,197007020002,Bombing/Explosion,Haiti Embassy,0,0,NA
United States,districtofcolumbia,197007020003,Bombing/Explosion,Uruguay Embassy,0,0,NA
United States,districtofcolumbia,197007020004,Bombing/Explosion,Dominican Republic Embassy,0,0,NA
United States,nebraska,197007020005,Bombing/Explosion,Components Concept Corporation,0,0,NA
United States,california,197007020006,Bombing/Explosion,Compton Police Station,0,1,Inf
United States,newyork,197007030001,Bombing/Explosion,Apartment of Justice Jawn A. Sandifer,0,0,NA
United States,washington,197007030002,Bombing/Explosion,"University Federal Savings and Loan Building, Seattle Washington",0,0,NA
United States,newyork,197007040001,Bombing/Explosion,BOAC Airline Office,0,0,NA
United States,newyork,197007040002,Facility/Infrastructure Attack,"Army truck stationed at Fort Hamilton, New York",0,0,NA
United States,texas,197007040003,Bombing/Explosion,School buses of the Longview Texas School District,0,0,NA
United States,ohio,197007040004,Bombing/Explosion,Home of Ben Maidenburg,0,0,NA
United States,newyork,197007040005,Bombing/Explosion,"Long Beach Democratic Committee headquarters, New York",0,0,NA
United States,california,197007040006,Assassination,Allan Daly,1,0,0
United States,newyork,197007050001,Bombing/Explosion,Police Cars parked at a police station in Queens,0,0,NA
United States,newyork,197007070001,Bombing/Explosion,Atlas Missile replica at worlds fair,0,0,NA
United States,newyork,197007070002,Bombing/Explosion,South African consulate,0,0,NA
